event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),,,,,,
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,,37.5,562.5,600,,
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,,217.5,67207.5,77720,,
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,,311.25,22721.25,26560,,
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,,510,51000,398820,,
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,,2500,800000,2811000,,
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,,311.25,32992.5,33615,,
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,,37.5,1462.5,1750,,
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,,41.25,4620,4840,,
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,,55,1980,4070,,
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,,595,17850,96390,,
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,,67.5,3915,3870,,
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,,41.25,3795,4345,,
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,,95,2375,6650,,
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,,117,24102,27924,,
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,,576.2,281185.6,498800,,
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,,100,22300,120800,,
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,,150,10200,78900,,
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,,32.5,1852.5,4875,,
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,,175,13475,81200,,
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,,576.2,267933,555560,,
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,,150,6750,55500,,
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,,37.5,1462.5,1450,,
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,,37.5,1350,1450,,
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,,595,20230,174930,,
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,,175,13125,88200,,
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,,67.5,3037.5,3420,,
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,,2500,157500,453000,,
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,,576.2,202246.2,386140,,
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,,37.5,1012.5,1050,,
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,,41.25,2227.5,2640,,
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,,2500,250000,525000,,
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,,185,78255,666370,,
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,,41.25,2640,2695,,
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,,2500,490000,1527000,,
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,,41.25,618.75,660,,
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,,2500,165000,441000,,
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,,175,17500,141050,,
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,,175,21350,114100,,
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,,595,30345,233240,,
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,,100,19300,154600,,
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,,576.2,138864.2,295840,,
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,,175,14000,96600,,
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,,311.25,32058.75,36520,,
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,,115.24,26735.68,50568,,
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,,576.2,183231.6,385280,,
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,,117,19422,24492,,
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,,311.25,31436.25,37350,,
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,,150,6750,36300,,
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,,595,17850,140420,,
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,,31,1519,4340,,
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,,32.5,1690,4615,,
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,,595,29155,230860,,
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,,95,5130,14820,,
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,,311.25,16185,20335,,
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,,100,42300,346800,,
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,,37.5,1162.5,1300,,
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,,150,7800,51900,,
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,,95,7600,19000,,
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,,150,4650,23100,,
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,,576.2,113511.4,245100,,
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,,510,55590,462060,,
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,,576.2,189569.8,404200,,
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,,117,30303,35100,,
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,,55,3905,9900,,
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,,150,4650,36600,,
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,,31,1984,5518,,
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,,115.24,20743.2,43860,,
b484bd,STTRV-1,CAMP_DIW_01,P06,415,25% OFF,36,34,,311.25,11205,14110,,
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,25% OFF,50,43,,311.25,15562.5,17845,,
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,,150,8550,56400,,
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,33% OFF,364,451,,576.2,209736.8,387860,,
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,,510,30090,198900,,
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,500 Cashback,437,1306,,2500,1092500,3918000,,
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,,510,41820,328440,,
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,,510,38760,306000,,
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,50% OFF,27,31,,31,837,1922,,
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,,175,23625,186900,,
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,BOGOF,68,235,,175,11900,82250,,
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,,595,16065,126140,,
8724c8,STCBE-4,CAMP_SAN_01,P04,370,BOGOF,363,990,,185,67155,366300,,
8f3699,STVSK-3,CAMP_DIW_01,P03,156,25% OFF,196,174,,117,22932,27144,,
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,BOGOF,133,559,,175,23275,195650,,
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,,95,5510,15390,,
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,,595,20825,145180,,
98c85b,STMLR-2,CAMP_DIW_01,P13,350,BOGOF,38,133,,175,6650,46550,,
d60641,STHYD-0,CAMP_DIW_01,P03,156,25% OFF,351,305,,117,41067,47580,,
a340fc,STBLR-4,CAMP_DIW_01,P05,55,25% OFF,136,121,,41.25,5610,6655,,
4dca21,STVSK-1,CAMP_SAN_01,P04,370,BOGOF,252,985,,185,46620,364450,,
ff18f2,STVSK-3,CAMP_DIW_01,P15,3000,500 Cashback,260,681,,2500,650000,2043000,,
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,25% OFF,150,123,,217.5,32625,35670,,
c23e33,STHYD-6,CAMP_SAN_01,P11,190,50% OFF,49,69,,95,4655,13110,,
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,,595,30345,241570,,
0951b6,STMYS-1,CAMP_DIW_01,P09,110,50% OFF,103,159,,55,5665,17490,,
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234,,510,31110,238680,,
de1ced,STCHE-3,CAMP_DIW_01,P03,156,25% OFF,330,290,,117,38610,45240,,
291ddf,STCBE-1,CAMP_SAN_01,P03,200,BOGOF,267,1054,,100,26700,210800,,
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25% OFF,25,22,,37.5,937.5,1100,,
53a947,STBLR-1,CAMP_SAN_01,P06,415,25% OFF,39,36,,311.25,12138.75,14940,,
b8f698,STMDU-3,CAMP_DIW_01,P10,65,50% OFF,68,76,,32.5,2210,4940,,
13ad42,STMDU-0,CAMP_DIW_01,P03,156,25% OFF,241,209,,117,28197,32604,,
93e61f,STBLR-4,CAMP_DIW_01,P10,65,50% OFF,92,120,,32.5,2990,7800,,
3070a3,STVSK-3,CAMP_DIW_01,P10,65,50% OFF,68,76,,32.5,2210,4940,,
cf0a2a,STHYD-3,CAMP_DIW_01,P09,110,50% OFF,92,147,,55,5060,16170,,
ae5745,STCBE-4,CAMP_DIW_01,P06,415,25% OFF,68,61,,311.25,21165,25315,,
695cd9,STTRV-1,CAMP_SAN_01,P07,300,BOGOF,21,82,,150,3150,24600,,
b76614,STMLR-0,CAMP_SAN_01,P12,62,50% OFF,33,47,,31,1023,2914,,
d42636,STBLR-6,CAMP_SAN_01,P05,55,25% OFF,25,20,,41.25,1031.25,1100,,
d9d3f4,STMYS-1,CAMP_DIW_01,P10,65,50% OFF,103,158,,32.5,3347.5,10270,,
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,BOGOF,60,238,,595,35700,283220,,
aaea9e,STTRV-0,CAMP_DIW_01,P10,65,50% OFF,68,93,,32.5,2210,6045,,
34a266,STMLR-0,CAMP_DIW_01,P08,1190,BOGOF,24,70,,595,14280,83300,,
b017e0,STMDU-3,CAMP_DIW_01,P02,860,33% OFF,276,345,,576.2,159031.2,296700,,
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,BOGOF,97,385,,510,49470,392700,,
9e2de4,STMLR-0,CAMP_SAN_01,P07,300,BOGOF,21,54,,150,3150,16200,,
ec29f9,STTRV-1,CAMP_SAN_01,P06,415,25% OFF,21,19,,311.25,6536.25,7885,,
5c50b6,STHYD-6,CAMP_SAN_01,P09,90,25% OFF,55,45,,67.5,3712.5,4050,,
e2a523,STHYD-5,CAMP_DIW_01,P07,300,BOGOF,59,195,,150,8850,58500,,
166a02,STCHE-6,CAMP_SAN_01,P13,350,BOGOF,111,445,,175,19425,155750,,
61b929,STVSK-2,CAMP_DIW_01,P14,1020,BOGOF,33,109,,510,16830,111180,,
908a96,STHYD-4,CAMP_SAN_01,P12,62,50% OFF,52,72,,31,1612,4464,,
d0f417,STCBE-4,CAMP_DIW_01,P12,62,50% OFF,89,112,,31,2759,6944,,
c4b10c,STCHE-5,CAMP_DIW_01,P06,415,25% OFF,87,77,,311.25,27078.75,31955,,
e39703,STBLR-9,CAMP_DIW_01,P08,1190,BOGOF,47,163,,595,27965,193970,,
1.11E+11,STMYS-3,CAMP_SAN_01,P11,190,50% OFF,43,48,,95,4085,9120,,
029ff8,STMLR-0,CAMP_SAN_01,P01,172,33% OFF,169,236,,115.24,19475.56,40592,,
daff65,STMLR-0,CAMP_DIW_01,P11,190,50% OFF,35,45,,95,3325,8550,,
108a63,STHYD-3,CAMP_SAN_01,P05,55,25% OFF,30,22,,41.25,1237.5,1210,,
e7d681,STCHE-5,CAMP_DIW_01,P13,350,BOGOF,66,226,,175,11550,79100,,
02fa4b,STVSK-4,CAMP_DIW_01,P01,172,33% OFF,155,218,,115.24,17862.2,37496,,
2b0a40,STHYD-2,CAMP_DIW_01,P13,350,BOGOF,82,273,,175,14350,95550,,
406a98,STBLR-5,CAMP_SAN_01,P01,172,33% OFF,264,361,,115.24,30423.36,62092,,
ad1849,STCHE-1,CAMP_DIW_01,P05,55,25% OFF,119,107,,41.25,4908.75,5885,,
cfa879,STCHE-4,CAMP_SAN_01,P13,350,BOGOF,114,502,,175,19950,175700,,
d2b963,STVJD-0,CAMP_SAN_01,P14,1020,BOGOF,48,187,,510,24480,190740,,
2e3393,STCHE-3,CAMP_SAN_01,P14,1020,BOGOF,112,460,,510,57120,469200,,
68718c,STCHE-0,CAMP_DIW_01,P04,290,25% OFF,309,265,,217.5,67207.5,76850,,
591730,STBLR-2,CAMP_SAN_01,P09,90,25% OFF,64,53,,67.5,4320,4770,,
7d1872,STMYS-2,CAMP_DIW_01,P02,860,33% OFF,283,430,,576.2,163064.6,369800,,
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,BOGOF,61,234,,510,31110,238680,,
55b461,STMDU-0,CAMP_SAN_01,P06,415,25% OFF,21,17,,311.25,6536.25,7055,,
6b26bc,STHYD-2,CAMP_SAN_01,P05,55,25% OFF,24,18,,41.25,990,990,,
dbd453,STMLR-1,CAMP_SAN_01,P03,200,BOGOF,195,776,,100,19500,155200,,
1fcb3a,STVSK-4,CAMP_DIW_01,P05,55,25% OFF,89,72,,41.25,3671.25,3960,,
0a45d8,STTRV-0,CAMP_DIW_01,P02,860,33% OFF,196,303,,576.2,112935.2,260580,,
e4235a,STVJD-0,CAMP_SAN_01,P09,90,25% OFF,33,30,,67.5,2227.5,2700,,
ca1e8f,STHYD-1,CAMP_DIW_01,P08,1190,BOGOF,54,167,,595,32130,198730,,
aa76f1,STHYD-0,CAMP_SAN_01,P11,190,50% OFF,42,65,,95,3990,12350,,
e8aca2,STCBE-4,CAMP_DIW_01,P08,1190,BOGOF,40,119,,595,23800,141610,,
c8670a,STCHE-0,CAMP_DIW_01,P15,3000,500 Cashback,343,1056,,2500,857500,3168000,,
c99d18,STCHE-7,CAMP_DIW_01,P08,1190,BOGOF,54,218,,595,32130,259420,,
bcbc28,STVSK-1,CAMP_DIW_01,P02,860,33% OFF,253,389,,576.2,145778.6,334540,,
d7e3d8,STVJD-1,CAMP_DIW_01,P13,350,BOGOF,36,124,,175,6300,43400,,
5991de,STMDU-0,CAMP_DIW_01,P09,110,50% OFF,43,58,,55,2365,6380,,
4ad894,STMLR-1,CAMP_DIW_01,P03,156,25% OFF,192,165,,117,22464,25740,,
72f1c0,STVSK-4,CAMP_DIW_01,P11,190,50% OFF,57,72,,95,5415,13680,,
465ef1,STCHE-4,CAMP_DIW_01,P04,290,25% OFF,304,273,,217.5,66120,79170,,
db76f3,STBLR-0,CAMP_DIW_01,P01,172,33% OFF,294,438,,115.24,33880.56,75336,,
8f4f8c,STVJD-1,CAMP_DIW_01,P02,860,33% OFF,210,321,,576.2,121002,276060,,
dd2475,STBLR-4,CAMP_DIW_01,P04,290,25% OFF,325,289,,217.5,70687.5,83810,,
a0a2ec,STBLR-8,CAMP_SAN_01,P01,172,33% OFF,346,491,,115.24,39873.04,84452,,
0f1be6,STCBE-2,CAMP_DIW_01,P12,62,50% OFF,89,129,,31,2759,7998,,
5b357f,STMDU-1,CAMP_DIW_01,P15,3000,500 Cashback,322,985,,2500,805000,2955000,,
380012,STMDU-3,CAMP_DIW_01,P06,415,25% OFF,56,50,,311.25,17430,20750,,
3906da,STMLR-2,CAMP_SAN_01,P09,90,25% OFF,33,27,,67.5,2227.5,2430,,
c917a3,STCHE-3,CAMP_DIW_01,P04,290,25% OFF,350,311,,217.5,76125,90190,,
3a8b79,STMDU-0,CAMP_DIW_01,P07,300,BOGOF,49,199,,150,7350,59700,,
c48008,STBLR-2,CAMP_DIW_01,P14,1020,BOGOF,47,162,,510,23970,165240,,
88a405,STMLR-2,CAMP_DIW_01,P12,62,50% OFF,63,71,,31,1953,4402,,
1ba928,STMDU-1,CAMP_DIW_01,P04,290,25% OFF,255,219,,217.5,55462.5,63510,,
7d5e81,STCHE-5,CAMP_SAN_01,P07,300,BOGOF,43,167,,150,6450,50100,,
43feca,STMDU-3,CAMP_DIW_01,P13,350,BOGOF,56,184,,175,9800,64400,,
9779b0,STVSK-2,CAMP_DIW_01,P10,65,50% OFF,85,128,,32.5,2762.5,8320,,
bd2635,STHYD-5,CAMP_DIW_01,P04,290,25% OFF,327,310,,217.5,71122.5,89900,,
4f255c,STHYD-1,CAMP_SAN_01,P08,1190,BOGOF,52,134,,595,30940,159460,,
386fdc,STVSK-1,CAMP_DIW_01,P01,172,33% OFF,257,364,,115.24,29616.68,62608,,
3df185,STCBE-2,CAMP_DIW_01,P11,190,50% OFF,40,62,,95,3800,11780,,
a37f93,STVSK-3,CAMP_DIW_01,P14,1020,BOGOF,38,117,,510,19380,119340,,
939435,STMLR-2,CAMP_SAN_01,P07,300,BOGOF,24,96,,150,3600,28800,,
38b760,STMDU-0,CAMP_DIW_01,P14,1020,BOGOF,33,126,,510,16830,128520,,
660f7c,STMYS-1,CAMP_SAN_01,P07,300,BOGOF,43,186,,150,6450,55800,,
5c8b9f,STMDU-1,CAMP_DIW_01,P01,172,33% OFF,187,289,,115.24,21549.88,49708,,
9.57E+11,STHYD-1,CAMP_SAN_01,P15,3000,500 Cashback,103,177,,2500,257500,531000,,
ddddb3,STBLR-2,CAMP_DIW_01,P09,110,50% OFF,103,136,,55,5665,14960,,
90b2fb,STCHE-6,CAMP_DIW_01,P07,300,BOGOF,59,201,,150,8850,60300,,
cf9994,STCHE-5,CAMP_SAN_01,P10,50,25% OFF,37,31,,37.5,1387.5,1550,,
fb4f00,STCHE-0,CAMP_DIW_01,P11,190,50% OFF,80,102,,95,7600,19380,,
b41e58,STCBE-4,CAMP_DIW_01,P02,860,33% OFF,255,377,,576.2,146931,324220,,
567271,STMDU-0,CAMP_DIW_01,P10,65,50% OFF,78,102,,32.5,2535,6630,,
902a62,STHYD-2,CAMP_DIW_01,P06,415,25% OFF,96,77,,311.25,29880,31955,,
da5d21,STBLR-9,CAMP_DIW_01,P10,65,50% OFF,92,125,,32.5,2990,8125,,
8f2264,STBLR-7,CAMP_DIW_01,P12,62,50% OFF,124,184,,31,3844,11408,,
1e2a0e,STBLR-9,CAMP_DIW_01,P01,172,33% OFF,329,467,,115.24,37913.96,80324,,
7a6449,STHYD-3,CAMP_DIW_01,P10,65,50% OFF,131,203,,32.5,4257.5,13195,,
6.24E+11,STMLR-0,CAMP_SAN_01,P03,200,BOGOF,206,541,,100,20600,108200,,
5aa413,STCHE-1,CAMP_SAN_01,P08,1190,BOGOF,43,109,,595,25585,129710,,
11a64e,STCHE-7,CAMP_SAN_01,P06,415,25% OFF,31,28,,311.25,9648.75,11620,,
67820e,STBLR-0,CAMP_SAN_01,P10,50,25% OFF,31,25,,37.5,1162.5,1250,,
cd0d8e,STMDU-2,CAMP_DIW_01,P11,190,50% OFF,66,77,,95,6270,14630,,
ee63b3,STHYD-4,CAMP_DIW_01,P02,860,33% OFF,362,521,,576.2,208584.4,448060,,
abffa2,STCHE-5,CAMP_DIW_01,P07,300,BOGOF,59,206,,150,8850,61800,,
5487a6,STBLR-0,CAMP_DIW_01,P03,156,25% OFF,358,315,,117,41886,49140,,
0a4160,STCHE-7,CAMP_DIW_01,P03,156,25% OFF,330,323,,117,38610,50388,,
6422b4,STCBE-0,CAMP_DIW_01,P01,172,33% OFF,255,425,,115.24,29386.2,73100,,
6c7601,STCBE-2,CAMP_SAN_01,P14,1020,BOGOF,78,334,,510,39780,340680,,
d3575d,STMLR-2,CAMP_DIW_01,P02,860,33% OFF,210,268,,576.2,121002,230480,,
